gesture_class,source_file,source_directory,WRIST_x,WRIST_y,WRIST_z,THUMB_CMC_x,THUMB_CMC_y,THUMB_CMC_z,THUMB_MCP_x,THUMB_MCP_y,THUMB_MCP_z,THUMB_IP_x,THUMB_IP_y,THUMB_IP_z,THUMB_TIP_x,THUMB_TIP_y,THUMB_TIP_z,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_MCP_z,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_PIP_z,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_DIP_z,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,INDEX_FINGER_TIP_z,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_MCP_z,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_PIP_z,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_DIP_z,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,MIDDLE_FINGER_TIP_z,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_MCP_z,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_PIP_z,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_DIP_z,RING_FINGER_TIP_x,RING_FINGER_TIP_y,RING_FINGER_TIP_z,PINKY_MCP_x,PINKY_MCP_y,PINKY_MCP_z,PINKY_PIP_x,PINKY_PIP_y,PINKY_PIP_z,PINKY_DIP_x,PINKY_DIP_y,PINKY_DIP_z,PINKY_TIP_x,PINKY_TIP_y,PINKY_TIP_z
A-sign,landmarks_image_0000.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.6914796829223633,0.40816208720207214,-8.641904400974454e-07,0.626291036605835,0.39198288321495056,-0.0012073640245944262,0.5787076950073242,0.3574050962924957,-0.0028269621543586254,0.5560618042945862,0.32316285371780396,-0.00968525093048811,0.548975944519043,0.29048728942871094,-0.015052775852382183,0.5975496768951416,0.3058907389640808,0.022642306983470917,0.5813364386558533,0.3022060990333557,-0.0007682693540118635,0.5959591269493103,0.3334406018257141,-0.02088424749672413,0.6110042333602905,0.35956352949142456,-0.0303046815097332,0.6267303228378296,0.296572208404541,0.01425308920443058,0.6079313158988953,0.30159395933151245,-0.007162452209740877,0.6243239045143127,0.33724117279052734,-0.0184919610619545,0.6387460231781006,0.3656036853790283,-0.0205538347363472,0.6584982872009277,0.291686087846756,0.001946966047398746,0.6345528960227966,0.3014523983001709,-0.018626177683472633,0.6491721868515015,0.33573856949806213,-0.015432457439601421,0.6640520095825195,0.36301279067993164,-0.006744618061929941,0.6945195198059082,0.29181912541389465,-0.011356496252119541,0.6652143001556396,0.29700571298599243,-0.024152595549821854,0.6716392040252686,0.32436177134513855,-0.017157621681690216,0.682655394077301,0.346278578042984,-0.0065369987860322
A-sign,landmarks_image_0001.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.6435881853103638,0.3494923412799835,-8.038906571528059e-07,0.5781423449516296,0.33898913860321045,-0.006306582596153021,0.5269441604614258,0.2984282672405243,-0.007467103190720081,0.5066631436347961,0.26098504662513733,-0.011787839233875275,0.49360746145248413,0.22840242087841034,-0.0137089928612113,0.5462416410446167,0.24674102663993835,0.01647844910621643,0.5281541347503662,0.24271191656589508,-0.005469392519444227,0.545525312423706,0.27500027418136597,-0.022312890738248825,0.562417209148407,0.3001042902469635,-0.029511447995901108,0.5795408487319946,0.23847904801368713,0.010849730111658573,0.5587704181671143,0.23957663774490356,-0.011049450375139713,0.5787075161933899,0.2776060998439789,-0.02009282261133194,0.5961689949035645,0.3066904544830322,-0.019571872428059578,0.614456295967102,0.23473390936851501,0.0011110889026895165,0.5901597142219543,0.23949624598026276,-0.02083716355264187,0.6066755056381226,0.2762608230113983,-0.015840498730540276,0.6224188804626465,0.3046138286590576,-0.0051436093635857105,0.6525673270225525,0.2353542000055313,-0.009789281524717808,0.6243842244148254,0.2369847446680069,-0.02441382221877575,0.6310467720031738,0.26582974195480347,-0.01728345826268196,0.6418888568878174,0.28772249817848206,-0.006089941598474979
A-sign,landmarks_image_0002.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.5593240261077881,0.2985665202140808,-7.17217005785642e-07,0.5016616582870483,0.2906087338924408,-0.0019414518028497696,0.4513624608516693,0.25224602222442627,-0.0010808580555021763,0.43217623233795166,0.2147979885339737,-0.004223479423671961,0.4250018298625946,0.18392685055732727,-0.005806234665215015,0.4680912494659424,0.2076280266046524,0.01699812151491642,0.45177799463272095,0.19508770108222961,-0.00399873498827219,0.4654088318347931,0.22445617616176605,-0.0192471481859684,0.48011815547943115,0.24959075450897217,-0.02539520524442196,0.5006923079490662,0.19951315224170685,0.009626258164644241,0.4816536605358124,0.1890440583229065,-0.012059942819178104,0.4965844750404358,0.2259383499622345,-0.020118439570069313,0.5109630227088928,0.25607919692993164,-0.018806051462888718,0.535671591758728,0.1946653574705124,-0.0012954040430486202,0.5117896199226379,0.18918108940124512,-0.02381673827767372,0.5249353647232056,0.2268752008676529,-0.018835218623280525,0.5386646389961243,0.2566886246204376,-0.007988693192601204,0.5737625360488892,0.19388167560100555,-0.012611186131834984,0.5450388193130493,0.18750283122062683,-0.02805006131529808,0.5496914982795715,0.21718227863311768,-0.020990535616874695,0.5606186389923096,0.24063454568386078,-0.010145148262381554
A-sign,landmarks_image_0003.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.54262375831604,0.29849445819854736,-6.706801514155813e-07,0.4847644865512848,0.2877362370491028,4.737943163490854e-05,0.4390721321105957,0.24945364892482758,0.0013960167998448014,0.42170393466949463,0.21246297657489777,-0.001710053300485015,0.4126359820365906,0.1814020425081253,-0.0034631453454494476,0.45541882514953613,0.20482729375362396,0.018992874771356583,0.4400443434715271,0.1918230801820755,0.0001737322600092739,0.4521264135837555,0.22083443403244019,-0.014571323990821838,0.466763973236084,0.24712054431438446,-0.02070729061961174,0.48674720525741577,0.19770343601703644,0.011043610982596874,0.4687557816505432,0.1875728964805603,-0.008019177243113518,0.4810692369937897,0.223533496260643,-0.016461310908198357,0.4946354329586029,0.2541812062263489,-0.016149837523698807,0.5201658010482788,0.1939745396375656,-6.551616388605908e-05,0.49582430720329285,0.18852253258228302,-0.019537916406989098,0.5072541236877441,0.22491712868213654,-0.01504844706505537,0.5210167765617371,0.2548334002494812,-0.005457148887217045,0.5566182732582092,0.1943839192390442,-0.011524873785674572,0.5276134014129639,0.18796737492084503,-0.024431444704532623,0.5298044681549072,0.21685007214546204,-0.016989177092909813,0.5386624932289124,0.2409820258617401,-0.006463082507252693
A-sign,landmarks_image_0004.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.5496776103973389,0.29810333251953125,-6.998390631451912e-07,0.49017107486724854,0.2857717275619507,-8.17805776023306e-05,0.4451201558113098,0.24704883992671967,0.001492080744355917,0.4286631941795349,0.2093634307384491,-0.001641934155486524,0.4192369282245636,0.1784440577030182,-0.003208942711353302,0.46537861227989197,0.20384880900382996,0.020754484459757805,0.44847822189331055,0.18781471252441406,0.0005592728266492486,0.456916868686676,0.21636147797107697,-0.01429563295096159,0.46899285912513733,0.24165959656238556,-0.020335765555500984,0.4967242181301117,0.19793285429477692,0.012171521782875061,0.4762381315231323,0.18572062253952026,-0.009487953037023544,0.48820367455482483,0.2215825319290161,-0.01824585534632206,0.5019611120223999,0.251234769821167,-0.017387380823493004,0.5298365950584412,0.19469225406646729,4.647699461202137e-05,0.5041903853416443,0.18842682242393494,-0.021618446335196495,0.515914261341095,0.22489824891090393,-0.016761090606451035,0.5299498438835144,0.2534501254558563,-0.00616230396553874,0.5670041441917419,0.195173978805542,-0.012521595694124699,0.5353257656097412,0.18808259069919586,-0.026733508333563805,0.5388986468315125,0.2168452888727188,-0.019261248409748077,0.549727737903595,0.23968049883842468,-0.008304419927299023
A-sign,landmarks_image_0005.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.5765281319618225,0.2660139799118042,-6.451142553487443e-07,0.5196161866188049,0.2553611099720001,-0.0030499666463583708,0.4736946225166321,0.21483677625656128,-0.0017278112936764956,0.45838725566864014,0.17658168077468872,-0.004224097356200218,0.45019298791885376,0.1456693410873413,-0.00486411526799202,0.49680569767951965,0.16914698481559753,0.018708430230617523,0.478928804397583,0.15513721108436584,-0.0017065962310880423,0.4889070689678192,0.18463976681232452,-0.016021477058529854,0.5027043223381042,0.2105032205581665,-0.021101778373122215,0.5284436941146851,0.16423587501049042,0.01239823829382658,0.5053449869155884,0.15207822620868683,-0.008780241012573242,0.5163424611091614,0.18818485736846924,-0.01690044440329075,0.5292719006538391,0.21794115006923676,-0.015004982240498066,0.561379075050354,0.16222307085990906,0.002297922968864441,0.533850371837616,0.15724633634090424,-0.01974971778690815,0.5447438955307007,0.19401909410953522,-0.015687208622694016,0.5579454302787781,0.22244837880134583,-0.004958871752023697,0.5969300866127014,0.16400837898254395,-0.00832788273692131,0.5652448534965515,0.1588015854358673,-0.022620832547545433,0.5681328177452087,0.18621866405010223,-0.016147343441843987,0.5783756971359253,0.20746195316314697,-0.005533350165933371
A-sign,landmarks_image_0006.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.6305030584335327,0.2286275327205658,-6.802852112741675e-07,0.5697465538978577,0.2042585164308548,-0.001252903020940721,0.5296472311019897,0.16499876976013184,-0.001999169122427702,0.5165815949440002,0.12862300872802734,-0.007880381308495998,0.5115912556648254,0.0958891212940216,-0.012328446842730045,0.5559675693511963,0.12334416806697845,0.02387777343392372,0.5364828705787659,0.11347956955432892,0.0010073977755382657,0.5455092191696167,0.14278465509414673,-0.018099110573530197,0.5575195550918579,0.17020180821418762,-0.026536237448453903,0.5860538482666016,0.12038269639015198,0.015205109491944313,0.5644104480743408,0.1115124523639679,-0.008865849114954472,0.5751922130584717,0.1470704823732376,-0.021152982488274574,0.5855525732040405,0.17815300822257996,-0.022529812529683113,0.6178888082504272,0.12040199339389801,0.0025963871739804745,0.5916028618812561,0.11415448039770126,-0.020510155707597733,0.6012929081916809,0.14957879483699799,-0.017517531290650368,0.6115398406982422,0.179792582988739,-0.0076926155015826225,0.652275800704956,0.12501591444015503,-0.010788879357278347,0.6222541928291321,0.11696913093328476,-0.02622533217072487,0.6258915662765503,0.14306703209877014,-0.019530637189745903,0.6344349384307861,0.1658913940191269,-0.00842542015016079
A-sign,landmarks_image_0007.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.7289614081382751,0.21066613495349884,-6.015296776240575e-07,0.6698655486106873,0.1833803355693817,-0.004029641393572092,0.6326245069503784,0.1397792398929596,-0.005168029107153416,0.6228837966918945,0.10153266787528992,-0.010665287263691425,0.6194636225700378,0.06805543601512909,-0.014003871940076351,0.6609058380126953,0.10239417850971222,0.020612366497516632,0.6449010968208313,0.0873858630657196,-0.0032911552116274834,0.6510474681854248,0.11734902858734131,-0.021874170750379562,0.6605733036994934,0.1447533518075943,-0.029611846432089806,0.6919877529144287,0.1026792824268341,0.013438945636153221,0.6733925342559814,0.08871099352836609,-0.01081768237054348,0.6785665154457092,0.12318844348192215,-0.02180367335677147,0.68480384349823,0.15312829613685608,-0.022135283797979355,0.7242199182510376,0.10601571202278137,0.0019396357238292694,0.6997940540313721,0.09601607918739319,-0.021384431049227715,0.7040213942527771,0.13028821349143982,-0.018461216241121292,0.7112025618553162,0.15945875644683838,-0.008697431534528732,0.7585929036140442,0.11326412856578827,-0.010563703253865242,0.7304904460906982,0.10172973573207855,-0.026276936754584312,0.7295763492584229,0.12745334208011627,-0.02043231949210167,0.735776424407959,0.15067225694656372,-0.010029158554971218
A-sign,landmarks_image_0008.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.7752757668495178,0.20053255558013916,-5.671627150150016e-07,0.7215596437454224,0.18432921171188354,-0.005540871527045965,0.6853476166725159,0.14012470841407776,-0.006301899440586567,0.6776269674301147,0.10155144333839417,-0.009669781662523746,0.6757878065109253,0.07010002434253693,-0.011001179926097393,0.7092971205711365,0.09796798974275589,0.01156065333634615,0.697879433631897,0.08283650130033493,-0.010332765989005566,0.7062729597091675,0.11092159897089005,-0.02560165897011757,0.7146310210227966,0.13693048059940338,-0.03136594593524933,0.7419946789741516,0.09663577377796173,0.00629758182913065,0.7285818457603455,0.08594875037670135,-0.015496216714382172,0.7358680963516235,0.12098939716815948,-0.02342795953154564,0.7410338521003723,0.1500496119260788,-0.02191334404051304,0.7742514610290527,0.09933727234601974,-0.00260425778105855,0.7567553520202637,0.09602846950292587,-0.025203300639986992,0.761846661567688,0.13111186027526855,-0.02186882309615612,0.7662383317947388,0.15856964886188507,-0.011935739777982235,0.8062148690223694,0.10648167878389359,-0.012187402695417404,0.7847026586532593,0.10043568164110184,-0.028135737404227257,0.7845360636711121,0.12781868875026703,-0.022801777347922325,0.7883312702178955,0.14981500804424286,-0.01278935931622982
A-sign,landmarks_image_0009.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/closer_data_coords\A-sign,0.7766023874282837,0.19502976536750793,-5.614849101220898e-07,0.7247557044029236,0.18156327307224274,-0.0053070951253175735,0.6891781687736511,0.13797783851623535,-0.005125146359205246,0.6811743378639221,0.10096471756696701,-0.007466038689017296,0.6787441372871399,0.07056906819343567,-0.008126743137836456,0.7130654454231262,0.09523079544305801,0.013224180787801743,0.704505443572998,0.08285963535308838,-0.006106015294790268,0.7096132636070251,0.11245319247245789,-0.019405987113714218,0.7156592607498169,0.136481374502182,-0.024294095113873482,0.7453593015670776,0.0936143547296524,0.008257661946117878,0.7332868576049805,0.08567419648170471,-0.011366602033376694,0.7377997040748596,0.12118026614189148,-0.01800292357802391,0.7421820163726807,0.14988425374031067,-0.015788119286298752,0.7776796221733093,0.09613405168056488,-0.0002633796539157629,0.7606640458106995,0.09383492171764374,-0.022166341543197632,0.7648323178291321,0.1296738237142563,-0.018181610852479935,0.7687513828277588,0.15833617746829987,-0.007727006450295448,0.8099324703216553,0.10297182947397232,-0.009332055225968361,0.7889180183410645,0.09770140796899796,-0.025538822636008263,0.7890232801437378,0.1263856738805771,-0.019637487828731537,0.7925499677658081,0.15017780661582947,-0.008986430242657661
