gesture_class,source_file,source_directory,WRIST_x,WRIST_y,THUMB_CMC_x,THUMB_CMC_y,THUMB_MCP_x,THUMB_MCP_y,THUMB_IP_x,THUMB_IP_y,THUMB_TIP_x,THUMB_TIP_y,INDEX_FINGER_MCP_x,INDEX_FINGER_MCP_y,INDEX_FINGER_PIP_x,INDEX_FINGER_PIP_y,INDEX_FINGER_DIP_x,INDEX_FINGER_DIP_y,INDEX_FINGER_TIP_x,INDEX_FINGER_TIP_y,MIDDLE_FINGER_MCP_x,MIDDLE_FINGER_MCP_y,MIDDLE_FINGER_PIP_x,MIDDLE_FINGER_PIP_y,MIDDLE_FINGER_DIP_x,MIDDLE_FINGER_DIP_y,MIDDLE_FINGER_TIP_x,MIDDLE_FINGER_TIP_y,RING_FINGER_MCP_x,RING_FINGER_MCP_y,RING_FINGER_PIP_x,RING_FINGER_PIP_y,RING_FINGER_DIP_x,RING_FINGER_DIP_y,RING_FINGER_TIP_x,RING_FINGER_TIP_y,PINKY_MCP_x,PINKY_MCP_y,PINKY_PIP_x,PINKY_PIP_y,PINKY_DIP_x,PINKY_DIP_y,PINKY_TIP_x,PINKY_TIP_y
A-sign,landmarks_image_0002.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.3926607072353363,0.7523990273475647,0.3982979655265808,0.7705297470092773,0.4075522720813751,0.7883934378623962,0.41828250885009766,0.801262617111206,0.42866405844688416,0.8096897006034851,0.4152128994464874,0.7996892929077148,0.4281003475189209,0.8108638525009155,0.4360199272632599,0.8123165369033813,0.43988341093063354,0.8113547563552856,0.41792693734169006,0.7926538586616516,0.4351181387901306,0.8001965880393982,0.4410741329193115,0.7991619110107422,0.44301342964172363,0.7962502241134644,0.41825708746910095,0.7838374376296997,0.4347033202648163,0.7880069017410278,0.43804532289505005,0.785801351070404,0.4379172921180725,0.7830502986907959,0.4168965220451355,0.7737958431243896,0.4309574067592621,0.7758319973945618,0.43336454033851624,0.7741721868515015,0.43277591466903687,0.7720242738723755
A-sign,landmarks_image_0006.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.6677998304367065,0.3610668182373047,0.6220042109489441,0.35283559560775757,0.5841716527938843,0.3277205526828766,0.5633440613746643,0.3035129904747009,0.5461333394050598,0.28225967288017273,0.585354745388031,0.29375773668289185,0.5734320878982544,0.29180875420570374,0.5895485281944275,0.3134087920188904,0.6038900017738342,0.3317781984806061,0.6055957674980164,0.2855493724346161,0.5920606255531311,0.2881634533405304,0.6099197268486023,0.312177836894989,0.6231781244277954,0.33106717467308044,0.6278432011604309,0.28045183420181274,0.6128807067871094,0.28547048568725586,0.6279086470603943,0.30837103724479675,0.6407653093338013,0.32613590359687805,0.6529356241226196,0.27759966254234314,0.6368855237960815,0.28034693002700806,0.6441515684127808,0.2993604242801666,0.6521506309509277,0.31325921416282654
A-sign,landmarks_image_0007.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.3375985324382782,0.7632195353507996,0.34890875220298767,0.7823015451431274,0.36389151215553284,0.8019930124282837,0.3773694634437561,0.812472939491272,0.387797474861145,0.8166328072547913,0.34919795393943787,0.8169785737991333,0.37155067920684814,0.8346171379089355,0.38820651173591614,0.8338340520858765,0.39568793773651123,0.8280394077301025,0.3465127646923065,0.8114924430847168,0.3720933198928833,0.8202282190322876,0.38261520862579346,0.8127671480178833,0.38353458046913147,0.8057404160499573,0.34669700264930725,0.8022608160972595,0.37291595339775085,0.8031901717185974,0.3783024251461029,0.7944953441619873,0.37524378299713135,0.7887751460075378,0.3491159975528717,0.7910585403442383,0.3703148663043976,0.790195643901825,0.3731566071510315,0.7835654020309448,0.3691663444042206,0.7794145345687866
A-sign,landmarks_image_0008.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.6246219277381897,0.2873704731464386,0.584762454032898,0.2828594446182251,0.547366201877594,0.2641291618347168,0.5257520079612732,0.24302051961421967,0.5086560249328613,0.2247975617647171,0.550344705581665,0.2419346570968628,0.5352941751480103,0.23281195759773254,0.5412569642066956,0.2452191263437271,0.5495137572288513,0.2576058804988861,0.5653939843177795,0.2332438975572586,0.5455655455589294,0.22687223553657532,0.5601427555084229,0.24696633219718933,0.5755151510238647,0.26303455233573914,0.583877682685852,0.22569039463996887,0.5616008639335632,0.2217799425125122,0.5770531296730042,0.24201098084449768,0.5938374400138855,0.25846508145332336,0.6058136820793152,0.21941044926643372,0.5832965970039368,0.21947124600410461,0.5911659002304077,0.23491764068603516,0.6038068532943726,0.2466614842414856
A-sign,landmarks_image_0009.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.6919854879379272,0.27850013971328735,0.6480937004089355,0.2706887423992157,0.6140650510787964,0.25089043378829956,0.5948225259780884,0.2315175086259842,0.5764765739440918,0.2143712043762207,0.6196747422218323,0.22497932612895966,0.6045242547988892,0.2237376868724823,0.6179143786430359,0.24119722843170166,0.6328114867210388,0.25537392497062683,0.6371248960494995,0.2186852991580963,0.6190239787101746,0.22021813690662384,0.6334492564201355,0.23948079347610474,0.6479988098144531,0.254242479801178,0.6562707424163818,0.21422676742076874,0.6356613039970398,0.21948207914829254,0.6498932242393494,0.2378472238779068,0.6651924252510071,0.2515298128128052,0.6781068444252014,0.21185967326164246,0.6548216938972473,0.21675261855125427,0.6621770858764648,0.23165163397789001,0.673482358455658,0.24237185716629028
A-sign,landmarks_image_0010.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.7651322484016418,0.30181053280830383,0.7173579335212708,0.2929214537143707,0.6764236688613892,0.2705352306365967,0.6548802256584167,0.248506560921669,0.6343376040458679,0.22971543669700623,0.6888887882232666,0.244297593832016,0.6715536713600159,0.23879003524780273,0.6842925548553467,0.25814002752304077,0.6982871890068054,0.27455541491508484,0.7114843130111694,0.2379722148180008,0.6887202262878418,0.23569777607917786,0.7058098316192627,0.25802144408226013,0.722207248210907,0.2751428782939911,0.7348319292068481,0.2335541844367981,0.7097022533416748,0.2342364490032196,0.7254396080970764,0.2554713189601898,0.7421703934669495,0.27235960960388184,0.7608458995819092,0.23126955330371857,0.7340590953826904,0.23028232157230377,0.7413817644119263,0.24733617901802063,0.7538547515869141,0.26165610551834106
A-sign,landmarks_image_0011.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.7859457731246948,0.27848079800605774,0.742027223110199,0.2739826440811157,0.6994138360023499,0.25361138582229614,0.6795383095741272,0.23239879310131073,0.6635966300964355,0.21554486453533173,0.7060673236846924,0.22828608751296997,0.6860401630401611,0.21235071122646332,0.6763684153556824,0.20489010214805603,0.6705425381660461,0.19997644424438477,0.7309005856513977,0.22064147889614105,0.7140592932701111,0.21995925903320312,0.7278167605400085,0.23982156813144684,0.742084801197052,0.2552002966403961,0.7573111653327942,0.21604223549365997,0.7394352555274963,0.21918612718582153,0.7508190870285034,0.23785382509231567,0.7640722990036011,0.2528512477874756,0.7848954796791077,0.21394217014312744,0.7644326090812683,0.215194433927536,0.769260823726654,0.2309546321630478,0.7799142003059387,0.24357792735099792
A-sign,landmarks_image_0012.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.8478408455848694,0.2652567923069,0.7991641163825989,0.26151034235954285,0.7544627785682678,0.24064476788043976,0.7311448454856873,0.2186577469110489,0.7211479544639587,0.1979648619890213,0.7637426853179932,0.20557375252246857,0.7379530072212219,0.19823554158210754,0.7282319664955139,0.19793663918972015,0.7253609299659729,0.19824612140655518,0.7880476117134094,0.19597947597503662,0.7627101540565491,0.20492053031921387,0.7777472138404846,0.22753126919269562,0.7943167686462402,0.24412524700164795,0.8132901191711426,0.19094178080558777,0.7866724729537964,0.20528705418109894,0.801545262336731,0.22702458500862122,0.8185180425643921,0.24313396215438843,0.8398656845092773,0.18967297673225403,0.8124830722808838,0.20183131098747253,0.8198833465576172,0.21819177269935608,0.8323004841804504,0.22960421442985535
A-sign,landmarks_image_0013.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.8247983455657959,0.28658509254455566,0.7740687131881714,0.28357088565826416,0.7285584807395935,0.26026225090026855,0.7055123448371887,0.2352246791124344,0.6883553266525269,0.21329918503761292,0.7328674793243408,0.21771672368049622,0.7236077189445496,0.2186044603586197,0.7417033910751343,0.2417401671409607,0.7591121792793274,0.26081976294517517,0.7555026412010193,0.20613814890384674,0.7497215270996094,0.21535886824131012,0.7666584849357605,0.24113401770591736,0.7810521721839905,0.26136890053749084,0.7803590297698975,0.20069755613803864,0.7742169499397278,0.2121221125125885,0.7861322164535522,0.23595860600471497,0.7976890206336975,0.25515565276145935,0.806097686290741,0.19906412065029144,0.7987577319145203,0.20701511204242706,0.8045872449874878,0.2280971109867096,0.8120612502098083,0.24430467188358307
A-sign,landmarks_image_0014.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.833460807800293,0.3723750412464142,0.7823432087898254,0.36209115386009216,0.7375553250312805,0.3349749445915222,0.713966965675354,0.3082798719406128,0.6976760625839233,0.2831045985221863,0.7502865195274353,0.2843649387359619,0.7291179895401001,0.29182469844818115,0.7473815679550171,0.3191126585006714,0.7665292620658875,0.33902260661125183,0.7731853127479553,0.27432265877723694,0.7519015669822693,0.29003873467445374,0.771613359451294,0.31817519664764404,0.7888332605361938,0.3390562832355499,0.7963504195213318,0.27026113867759705,0.7751783132553101,0.2892635762691498,0.7919108271598816,0.31380772590637207,0.8070268630981445,0.33354026079177856,0.8201780319213867,0.27049151062965393,0.7988157272338867,0.28423309326171875,0.8070095181465149,0.3040682077407837,0.8172569274902344,0.3197866380214691
A-sign,landmarks_image_0015.json,C:\Users\Administrator\PycharmProjects\Kinect_body_tracking_v2/hand_data_extended_from_mediapipe\A-sign,0.8091968297958374,0.44001537561416626,0.7572078704833984,0.42907923460006714,0.7126706838607788,0.3997200131416321,0.6904346942901611,0.3724106252193451,0.6711448431015015,0.3474547564983368,0.7233853936195374,0.3537299931049347,0.7071037292480469,0.35985803604125977,0.7214294672012329,0.3848648965358734,0.7366681098937988,0.40641099214553833,0.7480736374855042,0.3443217873573303,0.7324371933937073,0.35722824931144714,0.7471657395362854,0.3838658332824707,0.7615358829498291,0.40698447823524475,0.7742460370063782,0.3411175310611725,0.7573547959327698,0.35692736506462097,0.7700825929641724,0.3807152807712555,0.7830468416213989,0.40243980288505554,0.8016020059585571,0.34248751401901245,0.7816222906112671,0.3529464602470398,0.78736811876297,0.37365150451660156,0.7970739603042603,0.3917556703090668
